libmicrovmi memory dump evaluated statistics:

average execution time overall: 115,55 / 10 = 11,56 seconds

10,73 + 12,11 + 10,95 + 10,12 + 11,33 + 13,19 + 10,46 + 12,46 + 12,47 + 11,73 = 115,55

execution id: 1
average time: 107, 3 / 10 = 10,73 seconds

0:00:09.781170 2020-12-17 19:18:38.321081
0:00:10.045698 2020-12-17 19:20:31.486868
0:00:10.290778 2020-12-17 19:22:25.414474
0:00:18.221601 2020-12-17 19:24:18.655622
0:00:09.900155 2020-12-17 19:26:04.646434
0:00:09.818862 2020-12-17 19:27:54.006433
0:00:10.607387 2020-12-17 19:29:44.223383
0:00:10.649171 2020-12-17 19:31:31.926440
0:00:16.647171 2020-12-17 19:33:22.349608
0:00:11.624191 2020-12-17 19:35:12.628297

execution id: 2
average time: 121,14 / 10 = 12,11 seconds

0:00:09.898038 2020-12-17 19:51:09.440252
0:00:16.381771 2020-12-17 19:52:57.927860
0:00:15.470807 2020-12-17 19:54:50.095868
0:00:09.965413 2020-12-17 19:56:38.230375
0:00:09.787252 2020-12-17 19:58:37.356656
0:00:10.875728 2020-12-17 20:00:23.713607
0:00:09.883325 2020-12-17 20:02:16.586546
0:00:19.307039 2020-12-17 20:04:10.179726
0:00:09.852876 2020-12-17 20:05:55.177415
0:00:09.724572 2020-12-17 20:07:38.417680

execution id: 3
average time: 109,46 / 10 = 10,95 seconds

0:00:09.957727 2020-12-17 20:33:27.866169
0:00:10.761248 2020-12-17 20:35:16.789971
0:00:13.033881 2020-12-17 20:37:10.060779
0:00:09.933041 2020-12-17 20:38:55.671437
0:00:10.174997 2020-12-17 20:40:41.583110
0:00:09.923306 2020-12-17 20:42:35.270301
0:00:09.944030 2020-12-17 20:44:22.743490
0:00:09.884368 2020-12-17 20:46:09.376913
0:00:16.017377 2020-12-17 20:47:56.946712
0:00:09.853119 2020-12-17 20:49:44.957404

execution id: 4
average time: 101,16 / 10 = 10,12 seconds

0:00:10.171423 2020-12-17 21:02:53.534750
0:00:09.908617 2020-12-17 21:04:38.860909
0:00:10.063566 2020-12-17 21:06:30.382491
0:00:09.966469 2020-12-17 21:08:20.556143
0:00:10.163964 2020-12-17 21:10:10.913127
0:00:09.978360 2020-12-17 21:12:04.277603
0:00:10.673068 2020-12-17 21:13:48.992000
0:00:09.995514 2020-12-17 21:15:36.566921
0:00:10.312401 2020-12-17 21:17:19.966651
0:00:09.933430 2020-12-17 21:19:06.948719

execution id: 5
average time: 113,32 / 10 = 11,33 seconds

0:00:09.954076 2020-12-17 21:29:42.429316
0:00:09.966278 2020-12-17 21:31:27.271746
0:00:14.032620 2020-12-17 21:33:14.739724
0:00:10.041801 2020-12-17 21:35:07.718978
0:00:09.917161 2020-12-17 21:36:51.253079
0:00:09.922105 2020-12-17 21:38:48.473340
0:00:09.942613 2020-12-17 21:40:37.647694
0:00:14.560276 2020-12-17 21:42:20.042966
0:00:15.053913 2020-12-17 21:44:08.576664
0:00:09.942310 2020-12-17 21:45:54.473576

execution id: 6
average time: 131,92 / 10 = 13,19 seconds

0:00:09.888075 2020-12-17 22:01:49.013268
0:00:13.730775 2020-12-17 22:03:36.437196
0:00:10.160249 2020-12-17 22:05:23.110029
0:00:11.963484 2020-12-17 22:07:12.860665
0:00:16.699307 2020-12-17 22:09:01.852426
0:00:13.538355 2020-12-17 22:10:46.957139
0:00:18.610816 2020-12-17 22:12:37.871612
0:00:15.461746 2020-12-17 22:14:28.959683
0:00:11.876872 2020-12-17 22:16:14.929274
0:00:09.994340 2020-12-17 22:18:03.224640

execution id: 7
average time: 104,59 / 10 = 10,46 seconds

0:00:10.172345 2020-12-17 22:54:11.468499
0:00:09.938848 2020-12-17 22:56:00.104613
0:00:13.718629 2020-12-17 22:57:45.379225
0:00:09.863678 2020-12-17 22:59:30.497123
0:00:10.073165 2020-12-17 23:01:16.822347
0:00:09.847095 2020-12-17 23:03:05.333295
0:00:09.872194 2020-12-17 23:04:54.643356
0:00:09.996150 2020-12-17 23:06:42.537917
0:00:09.790211 2020-12-17 23:08:32.642982
0:00:11.324502 2020-12-17 23:10:18.439465

execution id: 8
average time: 124,59 / 10 = 12,46 seconds

0:00:09.940186 2020-12-17 23:17:28.610041
0:00:10.841596 2020-12-17 23:19:12.150229
0:00:16.577281 2020-12-17 23:21:02.723703
0:00:10.102073 2020-12-17 23:22:49.646144
0:00:10.312920 2020-12-17 23:24:37.748978
0:00:16.454676 2020-12-17 23:26:26.232425
0:00:09.995422 2020-12-17 23:28:09.997619
0:00:14.693851 2020-12-17 23:29:59.491509
0:00:09.966156 2020-12-17 23:31:48.698205
0:00:15.710025 2020-12-17 23:33:40.741496

execution id: 9
average time: 124,72 / 10 = 12,47 seconds

0:00:10.515495 2020-12-17 23:57:18.858891
0:00:16.214520 2020-12-17 23:59:09.525261
0:00:11.222315 2020-12-18 00:01:02.641107
0:00:13.268625 2020-12-18 00:02:52.316652
0:00:10.489018 2020-12-18 00:04:39.088355
0:00:16.956293 2020-12-18 00:06:24.569709
0:00:13.748357 2020-12-18 00:08:21.037973
0:00:12.484648 2020-12-18 00:10:09.734578
0:00:10.021080 2020-12-18 00:12:00.485982
0:00:09.804809 2020-12-18 00:13:49.245140

execution id: 10
average time: 117,34 / 10 = 11,73 seconds

0:00:10.171408 2020-12-18 00:40:56.465577
0:00:09.863280 2020-12-18 00:42:48.291027
0:00:16.333189 2020-12-18 00:44:37.881470
0:00:10.094064 2020-12-18 00:46:26.223583
0:00:10.011069 2020-12-18 00:48:22.092658
0:00:13.800754 2020-12-18 00:50:05.849847
0:00:13.507661 2020-12-18 00:51:57.964335
0:00:09.874307 2020-12-18 00:53:46.535354
0:00:13.708774 2020-12-18 00:55:34.933114
0:00:09.990663 2020-12-18 00:57:28.357951

