
libvmi memory dump evaluated statistics:

average execution time overall: 348,22 / 10 = 34,82 seconds

36,82 + 35,71 + 35,66 + 34,7 + 33,79 + 33,82 + 33,12 + 34,05 + 35,62 + 34,93 = 348,22

execution id: 1
average time: 362,81 / 10 = 36,28 seconds

0:00:36.718437 2020-12-17 19:18:23.794452
0:00:34.549348 2020-12-17 19:20:12.931140
0:00:37.791978 2020-12-17 19:22:09.288223
0:00:34.784879 2020-12-17 19:24:00.241063
0:00:30.739572 2020-12-17 19:25:49.415765
0:00:39.479175 2020-12-17 19:27:44.186370
0:00:39.482761 2020-12-17 19:29:33.549883
0:00:36.998585 2020-12-17 19:31:21.258779
0:00:33.680972 2020-12-17 19:33:05.653152
0:00:38.592601 2020-12-17 19:35:01.002899

execution id: 2
average time: 357,71 / 10 = 35,71 seconds

0:00:42.637170 2020-12-17 19:50:59.537884
0:00:32.085155 2020-12-17 19:52:41.545527
0:00:36.644152 2020-12-17 19:54:34.624448
0:00:32.716501 2020-12-17 19:56:22.873082
0:00:41.769558 2020-12-17 19:58:27.568850
0:00:35.419757 2020-12-17 20:00:12.837150
0:00:42.974496 2020-12-17 20:02:06.702677
0:00:34.197017 2020-12-17 20:03:50.844278
0:00:29.839164 2020-12-17 20:05:40.079621
0:00:29.418668 2020-12-17 20:07:24.614891

execution id: 3
average time: 356,57 / 10 = 35,66 seconds

0:00:42.723029 2020-12-17 20:33:17.892881
0:00:38.092426 2020-12-17 20:35:06.019341
0:00:39.986415 2020-12-17 20:36:56.837101
0:00:35.647236 2020-12-17 20:38:45.735419
0:00:32.143518 2020-12-17 20:40:27.875669
0:00:38.498535 2020-12-17 20:42:20.142347
0:00:31.700353 2020-12-17 20:44:07.031376
0:00:32.304298 2020-12-17 20:45:55.108487
0:00:31.470344 2020-12-17 20:47:40.907965
0:00:34.010755 2020-12-17 20:49:31.010944

execution id: 4
average time: 346,97 / 10 = 34,7 seconds

0:00:36.824015 2020-12-17 21:02:36.098960
0:00:30.308421 2020-12-17 21:04:23.903946
0:00:32.593319 2020-12-17 21:06:11.513536
0:00:36.111039 2020-12-17 21:08:06.511243
0:00:40.099801 2020-12-17 21:10:00.716760
0:00:38.853416 2020-12-17 21:11:49.827235
0:00:33.897183 2020-12-17 21:13:38.235462
0:00:33.230190 2020-12-17 21:15:22.230384
0:00:33.037408 2020-12-17 21:17:09.653615
0:00:32.017490 2020-12-17 21:18:52.025658

execution id: 5
average time: 337,93 / 10 = 33,79 seconds

0:00:33.950417 2020-12-17 21:29:23.226618
0:00:29.856383 2020-12-17 21:31:12.346402
0:00:33.312772 2020-12-17 21:33:00.645233
0:00:38.138488 2020-12-17 21:34:52.902688
0:00:33.555706 2020-12-17 21:36:41.335355
0:00:41.880869 2020-12-17 21:38:33.194688
0:00:34.913552 2020-12-17 21:40:23.401846
0:00:27.694854 2020-12-17 21:42:05.403228
0:00:33.433876 2020-12-17 21:43:53.505032
0:00:31.220126 2020-12-17 21:45:39.804309

execution id: 6
average time: 338,21 / 10 = 33,82 seconds

0:00:33.160227 2020-12-17 22:01:34.140001
0:00:33.543061 2020-12-17 22:03:22.617090
0:00:36.464980 2020-12-17 22:05:12.949239
0:00:37.725911 2020-12-17 22:07:00.896626
0:00:32.079666 2020-12-17 22:08:45.001053
0:00:31.554030 2020-12-17 22:10:33.418199
0:00:32.227299 2020-12-17 22:12:19.211464
0:00:35.394879 2020-12-17 22:14:13.295076
0:00:34.063654 2020-12-17 22:16:03.051853
0:00:32.009766 2020-12-17 22:17:46.965966

execution id: 7
average time: 331,22 / 10 = 33,12 seconds

0:00:31.010689 2020-12-17 22:53:55.841424
0:00:31.635016 2020-12-17 22:55:43.131217
0:00:31.492552 2020-12-17 22:57:31.616737
0:00:31.283062 2020-12-17 22:59:16.671246
0:00:36.242214 2020-12-17 23:01:06.746401
0:00:34.045173 2020-12-17 23:02:50.928208
0:00:31.995384 2020-12-17 23:04:37.339533
0:00:32.737076 2020-12-17 23:06:27.441166
0:00:36.328980 2020-12-17 23:08:18.927601
0:00:34.434221 2020-12-17 23:10:07.114415

execution id: 8
average time: 340,52 / 10 = 34,05 seconds

0:00:37.239152 2020-12-17 23:17:18.666345
0:00:32.637335 2020-12-17 23:19:01.308082
0:00:33.854137 2020-12-17 23:20:46.065070
0:00:31.371084 2020-12-17 23:22:34.155682
0:00:33.281743 2020-12-17 23:24:22.965944
0:00:31.895705 2020-12-17 23:26:09.699901
0:00:33.708487 2020-12-17 23:28:00.001678
0:00:34.683052 2020-12-17 23:29:44.741364
0:00:35.558904 2020-12-17 23:31:35.055091
0:00:36.289757 2020-12-17 23:33:25.029945

execution id: 9
average time: 356,22 / 10 = 35,62 seconds

0:00:27.828092 2020-12-17 23:57:03.309494
0:00:34.328960 2020-12-17 23:58:53.248544
0:00:41.832163 2020-12-18 00:00:51.418189
0:00:36.403270 2020-12-18 00:02:39.047453
0:00:36.221223 2020-12-18 00:04:28.598676
0:00:28.444047 2020-12-18 00:06:07.593132
0:00:42.614458 2020-12-18 00:08:07.244852
0:00:36.147882 2020-12-18 00:09:57.249407
0:00:37.366597 2020-12-18 00:11:47.138792
0:00:35.035932 2020-12-18 00:13:35.524149

execution id: 10
average time: 349,33 / 10 = 34,93 seconds

0:00:30.757847 2020-12-18 00:40:42.769510
0:00:37.384876 2020-12-18 00:42:33.873060
0:00:33.146772 2020-12-18 00:44:21.498489
0:00:33.333928 2020-12-18 00:46:11.258115
0:00:42.366313 2020-12-18 00:48:08.614526
0:00:29.853811 2020-12-18 00:49:51.974015
0:00:38.507933 2020-12-18 00:51:44.418457
0:00:34.937444 2020-12-18 00:53:32.929650
0:00:34.605131 2020-12-18 00:55:21.201166
0:00:34.434190 2020-12-18 00:57:09.418435



